"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","692","Mark a todo as done","chromium","2026-03-20","passed","2026-03-20","Todo Management","tests/todos.feature.spec.js","",""
"","620","Change password fails when passwords do not match","chromium","2026-03-20","passed","2026-03-20","Profile Management","tests/profile.feature.spec.js","",""
"","764","Quick Add todo from dashboard","chromium","2026-03-20","passed","2026-03-20","Dashboard","tests/dashboard.feature.spec.js","",""
"","620","Change password successfully","chromium","2026-03-20","passed","2026-03-20","Profile Management","tests/profile.feature.spec.js","",""
"","769","Update profile name","chromium","2026-03-20","passed","2026-03-20","Profile Management","tests/profile.feature.spec.js","",""
"","756","Edit an existing todo","chromium","2026-03-20","passed","2026-03-20","Todo Management","tests/todos.feature.spec.js","",""
"","755","Cancel adding a todo","chromium","2026-03-20","passed","2026-03-20","Todo Management","tests/todos.feature.spec.js","",""
"","747","Successful login with valid credentials","chromium","2026-03-20","passed","2026-03-20","Authentication","tests/auth.feature.spec.js","",""
"","508","Failed login with invalid credentials","chromium","2026-03-20","passed","2026-03-20","Authentication","tests/auth.feature.spec.js","",""
"","542","Dashboard shows correct stats","chromium","2026-03-20","passed","2026-03-20","Dashboard","tests/dashboard.feature.spec.js","",""
"","400","Password visibility toggle","chromium","2026-03-20","passed","2026-03-20","Authentication","tests/auth.feature.spec.js","",""
"","660","Change password fails when current password is wrong","chromium","2026-03-20","passed","2026-03-20","Profile Management","tests/profile.feature.spec.js","",""
"","615","Filter todos by status","chromium","2026-03-20","passed","2026-03-20","Todo Management","tests/todos.feature.spec.js","",""
"","5996","Delete a todo","chromium","2026-03-20","failed","2026-03-20","Todo Management","tests/todos.feature.spec.js","",""
"","621","Search for a todo","chromium","2026-03-20","passed","2026-03-20","Todo Management","tests/todos.feature.spec.js","",""
"","918","Add a todo with all fields","chromium","2026-03-20","passed","2026-03-20","Todo Management","tests/todos.feature.spec.js","",""
"","723","Filter todos by priority","chromium","2026-03-20","passed","2026-03-20","Todo Management","tests/todos.feature.spec.js","",""
"","633","Logout","chromium","2026-03-20","passed","2026-03-20","Authentication","tests/auth.feature.spec.js","",""
"","809","Add a new todo","chromium","2026-03-20","passed","2026-03-20","Todo Management","tests/todos.feature.spec.js","",""
